	Kingdom	Phylum	Class	Order	Family	Genus
ASV_2716	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA
ASV_2717	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
ASV_2718	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV_2719	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV_2720	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV_2721	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV_2722	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2723	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia
ASV_2724	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75 clade
ASV_2725	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
ASV_2726	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus Tenderia
ASV_2727	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV_2728	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA
ASV_2729	Bacteria	Planctomycetota	OM190	NA	NA	NA
ASV_2730	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_2731	Bacteria	Planctomycetota	OM190	NA	NA	NA
ASV_2732	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA
ASV_2733	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	NA
ASV_2734	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	NA
ASV_2735	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
ASV_2736	Bacteria	Myxococcota	Polyangia	NA	NA	NA
ASV_2737	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA
ASV_2738	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2739	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2740	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	NA
ASV_2741	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_2742	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
